cve,legacy_date_published,current_date_published
CVE-2002-1982,2005-06-28,2022-10-03
CVE-2002-1984,2005-06-28,2022-10-03
CVE-2002-1985,2005-06-28,2022-10-03
CVE-2002-1986,2005-06-28,2022-10-03
CVE-2002-1987,2005-07-14,2022-10-03
CVE-2002-1988,2005-07-14,2022-10-03
CVE-2002-1989,2005-07-14,2022-10-03
CVE-2002-1990,2005-07-14,2022-10-03
CVE-2002-1992,2005-07-14,2022-10-03
CVE-2002-1993,2005-07-14,2022-10-03
CVE-2002-1994,2005-07-14,2022-10-03
CVE-2002-1995,2005-07-14,2022-10-03
CVE-2002-1998,2005-07-14,2022-10-03
CVE-2002-1999,2005-07-14,2022-10-03
CVE-2002-2000,2005-07-14,2022-10-03
CVE-2002-2002,2005-07-14,2022-10-03
CVE-2002-2003,2005-07-14,2022-10-03
CVE-2002-2004,2005-07-14,2022-10-03
CVE-2002-2007,2005-07-14,2022-10-03
CVE-2002-2010,2005-07-14,2022-10-03
CVE-2002-2011,2005-07-14,2022-10-03
CVE-2002-2012,2005-07-14,2022-10-03
CVE-2002-2013,2005-07-14,2022-10-03
CVE-2002-2014,2005-07-14,2022-10-03
CVE-2002-2015,2005-07-14,2022-10-03
CVE-2002-2016,2005-07-14,2022-10-03
CVE-2002-2017,2005-07-14,2022-10-03
CVE-2002-2018,2005-07-14,2022-10-03
CVE-2002-2019,2005-07-14,2022-10-03
CVE-2002-2020,2005-07-14,2022-10-03
CVE-2002-2021,2005-07-14,2022-10-03
CVE-2002-2022,2005-07-14,2022-10-03
CVE-2002-2023,2005-07-14,2022-10-03
CVE-2002-2024,2005-07-14,2022-10-03
CVE-2002-2025,2005-07-14,2022-10-03
CVE-2002-2026,2005-07-14,2022-10-03
CVE-2002-2027,2005-07-14,2022-10-03
CVE-2002-2028,2005-07-14,2022-10-03
CVE-2002-2029,2005-07-14,2022-10-03
CVE-2002-2030,2005-07-14,2022-10-03
CVE-2002-2031,2005-07-14,2022-10-03
CVE-2002-2032,2005-07-14,2022-10-03
CVE-2002-2033,2005-07-14,2022-10-03
CVE-2002-2034,2005-07-14,2022-10-03
CVE-2002-2035,2005-07-14,2022-10-03
CVE-2002-2036,2005-07-14,2022-10-03
CVE-2002-2037,2005-07-14,2022-10-03
CVE-2002-2038,2005-07-14,2022-10-03
CVE-2002-2040,2005-07-14,2022-10-03
CVE-2002-2042,2005-07-14,2022-10-03
CVE-2002-2043,2005-07-14,2022-10-03
CVE-2002-2044,2005-07-14,2022-10-03
CVE-2002-2047,2005-07-14,2022-10-03
CVE-2002-2049,2005-07-14,2022-10-03
CVE-2002-2050,2005-07-14,2022-10-03
CVE-2002-2052,2005-07-14,2022-10-03
CVE-2002-2053,2005-07-14,2022-10-03
CVE-2002-2058,2005-07-14,2022-10-03
CVE-2002-2059,2005-07-14,2022-10-03
CVE-2002-2060,2005-07-14,2022-10-03
CVE-2002-2062,2005-07-14,2022-10-03
CVE-2002-2063,2005-07-14,2022-10-03
CVE-2002-2064,2005-07-14,2022-10-03
CVE-2002-2065,2005-07-14,2022-10-03
CVE-2002-2067,2005-07-14,2022-10-03
CVE-2002-2068,2005-07-14,2022-10-03
CVE-2002-2069,2005-07-14,2022-10-03
CVE-2002-2070,2005-07-14,2022-10-03
CVE-2002-2071,2005-07-14,2022-10-03
CVE-2002-2072,2005-07-14,2022-10-03
CVE-2002-2074,2005-07-14,2022-10-03
CVE-2002-2075,2005-07-14,2022-10-03
CVE-2002-2076,2005-07-14,2022-10-03
CVE-2002-2077,2005-07-14,2022-10-03
CVE-2002-2078,2005-07-14,2022-10-03
CVE-2002-2079,2005-07-14,2022-10-03
CVE-2002-2080,2005-07-14,2022-10-03
CVE-2002-2081,2005-07-14,2022-10-03
CVE-2002-2082,2005-07-14,2022-10-03
CVE-2002-2083,2005-07-14,2022-10-03
CVE-2002-2084,2005-07-14,2022-10-03
CVE-2002-2085,2005-07-14,2022-10-03
CVE-2002-2087,2005-08-05,2022-10-03
CVE-2002-2088,2005-08-05,2022-10-03
CVE-2002-2089,2005-08-05,2022-10-03
CVE-2002-2090,2005-08-05,2022-10-03
CVE-2002-2091,2005-08-05,2022-10-03
CVE-2002-2094,2005-08-05,2022-10-03
CVE-2002-2095,2005-08-05,2022-10-03
CVE-2002-2096,2005-08-05,2022-10-03
CVE-2002-2100,2005-08-05,2022-10-03
CVE-2002-2101,2005-08-05,2022-10-03
CVE-2002-2102,2005-08-05,2022-10-03
CVE-2002-2103,2005-08-05,2022-10-03
CVE-2002-2107,2005-08-05,2022-10-03
CVE-2002-2108,2005-08-05,2022-10-03
CVE-2002-2109,2005-08-05,2022-10-03
CVE-2002-2110,2005-08-05,2022-10-03
CVE-2002-2112,2005-08-05,2022-10-03
CVE-2002-2113,2005-08-05,2022-10-03
CVE-2002-2115,2005-08-05,2022-10-03
CVE-2002-2116,2005-08-05,2022-10-03
CVE-2002-2117,2005-08-05,2022-10-03
CVE-2002-2119,2005-08-05,2022-10-03
CVE-2002-2120,2005-08-05,2022-10-03
CVE-2002-2122,2005-08-05,2022-10-03
CVE-2002-2125,2005-11-16,2022-10-03
CVE-2002-2126,2005-11-16,2022-10-03
CVE-2002-2128,2005-11-16,2022-10-03
CVE-2002-2130,2005-11-16,2022-10-03
CVE-2002-2131,2005-11-16,2022-10-03
CVE-2002-2132,2005-11-16,2022-10-03
CVE-2002-2137,2005-11-16,2022-10-03
CVE-2002-2139,2005-11-16,2022-10-03
CVE-2002-2140,2005-11-16,2022-10-03
CVE-2002-2144,2005-11-16,2022-10-03
CVE-2002-2145,2005-11-16,2022-10-03
CVE-2002-2146,2005-11-16,2022-10-03
CVE-2002-2148,2005-11-16,2022-10-03
CVE-2002-2149,2005-11-16,2022-10-03
CVE-2002-2150,2005-11-16,2022-10-03
CVE-2002-2152,2005-11-16,2022-10-03
CVE-2002-2154,2005-11-16,2022-10-03
CVE-2002-2155,2005-11-16,2022-10-03
CVE-2002-2156,2005-11-16,2022-10-03
CVE-2002-2158,2005-11-16,2022-10-03
CVE-2002-2161,2005-11-16,2022-10-03
CVE-2002-2162,2005-11-16,2022-10-03
CVE-2002-2163,2005-11-16,2022-10-03
CVE-2002-2164,2005-11-16,2022-10-03
